GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.admin,EditUserScreen,198,0,4,0,60,0,7,0,5,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.admin,AdminMainScreen.AdminMenuList,81,0,0,0,8,0,4,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.admin,EntryUserScreen,167,0,4,0,49,0,5,0,3,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui.admin,AdminMainScreen,20,0,0,0,5,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,DtoFormatter.ReservationFormatter,44,0,0,0,8,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,ScreenController,116,0,2,0,19,0,4,0,3,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,ClientConstants,43,0,0,0,13,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,EndScreen,5,0,0,0,2,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,DtoFormatter.UserAccountFormatter,33,0,0,0,7,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,LoginScreen,94,0,6,0,25,0,5,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,TransitionMap.Transition,104,0,0,0,11,0,1,0,1,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,TransitionMap,28,0,0,0,6,0,4,0,4,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.ui,DtoFormatter.RentalItemFormatter,23,0,0,0,5,0,2,0,2,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.login,LoginEventReciever,37,0,0,0,12,0,7,0,7,0
rms-coverage/rms-client-ui-console,io.extact.rms.client.console.login,LoggedInAuditLog,14,0,0,0,4,0,3,0,3,0
